mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10454754829406739,0.007700585216881822,0.006533575057983398,0.0008564235157147592,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.21806621551513672,0.011631562414105652,0.011757850646972656,0.005434107330184821,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.43105134963989256,0.016210382029642763,0.020908832550048828,0.003806505094162808,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1261322021484375,0.019207824051668793,0.008341121673583984,0.0019248098021088789,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,1.0,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9916666666666668,0.004166666666666652
0.19522881507873535,0.015831593843940454,0.012559175491333008,0.005226435332924068,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.9895833333333334,0.9895833333333334,1.0,0.9895833333333334,0.9895833333333334,0.9916666666666668,0.004166666666666652
0.39978785514831544,0.03389680417913748,0.019287538528442384,0.0026643557276086033,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.9895833333333334,0.9895833333333334,1.0,0.9895833333333334,0.9895833333333334,0.9916666666666668,0.004166666666666652
0.09679994583129883,0.008628403319672549,0.006163930892944336,0.0008227164544020214,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9895833333333334,0.9854166666666666,0.0051031036307983245
0.19086775779724122,0.012159973441264422,0.010449361801147462,0.0013916718576060547,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9854166666666668,0.0051031036307983245
0.3749675273895264,0.025820513850458117,0.018297767639160155,0.0039663715542821035,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9895833333333334,0.9854166666666666,0.0051031036307983245
0.09483113288879394,0.005769986881084873,0.006935501098632812,0.0009731785741367635,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1,0.9791666666666666,0.9895833333333334,1.0,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.006588078458684136
